archivo,conductividad,espesor,bobina,muestras
Exp_316-M01.csv,1201980.0,0.023022,m1,316-M01
Exp_316-M02.csv,1228240.0,0.02323,m1,316-M02
Exp_316-M03.csv,1263840.0,0.0236,m1,316-M03
Exp_316-M04.csv,1276660.0,0.023428,m1,316-M04
Exp_316-M05.csv,1279890.0,0.022860000000000002,m1,316-M05
Exp_316-M06.csv,1328030.0,0.023330000000000004,m1,316-M06
Exp_316-M07.csv,1356150.0,0.023136,m1,316-M07
Exp_316-M08.csv,1340660.0,0.022812000000000002,m1,316-M08
Exp_316-M09.csv,1307190.0,0.023268,m1,316-M09
Exp_Aire.csv,0.0,0.0,m1,aire
Exp_P057.csv,3948000.0,0.14957,m1,P057
